Lista de numeros: 
<1>,  Valor: 0.002442598925256473
<2>,  Valor: 0.07034684904738642
<3>,  Valor: 0.03859306301905227
<4>,  Valor: 0.11822178798241328
<5>,  Valor: 0.4264777723497802
<6>,  Valor: 0.361504640937958
<7>,  Valor: 0.4782608695652174
<8>,  Valor: 0.8627259404005863
<9>,  Valor: 0.006350757205666829
<10>,  Valor: 0.18368343917928676
<11>,  Valor: 0.3238886174890083
<12>,  Valor: 0.3878847093307279
<13>,  Valor: 0.2427943331704934
<14>,  Valor: 0.03712750366389839
<15>,  Valor: 0.07572056668295066
<16>,  Valor: 0.19443087445041524
<17>,  Valor: 0.6355642403517342
<18>,  Valor: 0.4220810942843185
<19>,  Valor: 0.2340009770395701
<20>,  Valor: 0.782608695652174
<21>,  Valor: 0.6844162188568637
<22>,  Valor: 0.8382999511480215
<23>,  Valor: 0.298485588666341
<24>,  Valor: 0.651685393258427
<25>,  Valor: 0.8895945285784074
<26>,  Valor: 0.7855398143624817
<27>,  Valor: 0.769418661455789
<28>,  Valor: 0.30190522716170004
<29>,  Valor: 0.7508549096238397
<30>,  Valor: 0.7640449438202247
<31>,  Valor: 0.14606741573033707
<32>,  Valor: 0.2335124572545188
<33>,  Valor: 0.7684416218856863
<34>,  Valor: 0.27357107962872496
<35>,  Valor: 0.9296531509526136
<36>,  Valor: 0.9467513434294089
<37>,  Valor: 0.4421104054714216
<38>,  Valor: 0.8148510014655593
<39>,  Valor: 0.6189545676599902
<40>,  Valor: 0.9408891060087934
<41>,  Valor: 0.2721055202735711
<42>,  Valor: 0.8871519296531509
<43>,  Valor: 0.714704445530044
<44>,  Valor: 0.7161700048851979
<45>,  Valor: 0.7586712261846604
<46>,  Valor: 0.9907181240840254
<47>,  Valor: 0.7166585246702492
<48>,  Valor: 0.7728382999511481
<49>,  Valor: 0.40107474352711286
<50>,  Valor: 0.625305324865657
<51>,  Valor: 0.12457254518808011
<52>,  Valor: 0.6106497313141183
<53>,  Valor: 0.7000488519785051
<54>,  Valor: 0.29115779189057156
<55>,  Valor: 0.43917928676111384
<56>,  Valor: 0.7298485588666341
<57>,  Valor: 0.15486077186126038
<58>,  Valor: 0.48851978505129456
<59>,  Valor: 0.15974596971177332
<60>,  Valor: 0.63019052271617
<61>,  Valor: 0.26624328285295557
<62>,  Valor: 0.7171470444553004
<63>,  Valor: 0.7870053737176356
<64>,  Valor: 0.8119198827552516
<65>,  Valor: 0.5339521250610649
<66>,  Valor: 0.4767953102100635
<67>,  Valor: 0.8202247191011236
<68>,  Valor: 0.7747923790913532
<69>,  Valor: 0.45774303859306303
<70>,  Valor: 0.2677088422081094
<71>,  Valor: 0.7596482657547631
<72>,  Valor: 0.018563751831949193
<73>,  Valor: 0.5378602833414753
<74>,  Valor: 0.5901319003419638
<75>,  Valor: 0.10503175378602833
<76>,  Valor: 0.04396678065461651
<77>,  Valor: 0.2740595994137763
<78>,  Valor: 0.9438202247191011
<79>,  Valor: 0.35710796287249635
<80>,  Valor: 0.3507572056668295
<81>,  Valor: 0.16658524670249145
<82>,  Valor: 0.8285295554469956
<83>,  Valor: 0.015144113336590131
<84>,  Valor: 0.4386907669760625
<85>,  Valor: 0.7156814851001465
<86>,  Valor: 0.7445041524181729
<87>,  Valor: 0.5798729848558867
<88>,  Valor: 0.8080117244748413
<89>,  Valor: 0.42061553492916465
<90>,  Valor: 0.19149975574010747
<91>,  Valor: 0.550561797752809
<92>,  Valor: 0.95847581827064
<93>,  Valor: 0.7821201758671226
<94>,  Valor: 0.6702491450903761
<95>,  Valor: 0.42745481191988277
<96>,  Valor: 0.38983878847093306
<97>,  Valor: 0.2994626282364436
<98>,  Valor: 0.680019540791402
<99>,  Valor: 0.7107962872496336
<100>,  Valor: 0.6028334147532975
<101>,  Valor: 0.47337567171470446
<102>,  Valor: 0.7210552027357108
<103>,  Valor: 0.9003419638495359
<104>,  Valor: 0.09672691744015632
<105>,  Valor: 0.8036150464093795
<106>,  Valor: 0.29311187103077674
<107>,  Valor: 0.495847581827064
<108>,  Valor: 0.37225207620908646
<109>,  Valor: 0.7899364924279433
<110>,  Valor: 0.8969223253541768
<111>,  Valor: 0.9980459208597948
<112>,  Valor: 0.9291646311675623
<113>,  Valor: 0.9325842696629213
<114>,  Valor: 0.03126526624328285
<115>,  Valor: 0.9062042012701514
<116>,  Valor: 0.26673180263800683
<117>,  Valor: 0.7313141182217879
<118>,  Valor: 0.197361993160723
<119>,  Valor: 0.7205666829506595
<120>,  Valor: 0.8861748900830484
<121>,  Valor: 0.6863702979970688
<122>,  Valor: 0.8949682462139716
<123>,  Valor: 0.9413776257938447
<124>,  Valor: 0.2862725940400586
<125>,  Valor: 0.2975085490962384
<126>,  Valor: 0.6233512457254519
<127>,  Valor: 0.06790425012212994
<128>,  Valor: 0.9682462139716659
<129>,  Valor: 0.06497313141182218
<130>,  Valor: 0.8832437713727406
<131>,  Valor: 0.6013678553981436
<132>,  Valor: 0.4308744504152418
<133>,  Valor: 0.4890083048363459
<134>,  Valor: 0.17391304347826086
<135>,  Valor: 0.04054714215925745
<136>,  Valor: 0.17489008304836345
<137>,  Valor: 0.06888128969223253
<138>,  Valor: 0.9965803615046409
<139>,  Valor: 0.8866634098680997
<140>,  Valor: 0.7005373717635565
<141>,  Valor: 0.30532486565705913
<142>,  Valor: 0.8500244259892525
<143>,  Valor: 0.638495359062042
<144>,  Valor: 0.5070835368832438
<145>,  Valor: 0.6980947728382999
<146>,  Valor: 0.2344894968246214
<147>,  Valor: 0.7967757694186615
<148>,  Valor: 0.09477283829995115
<149>,  Valor: 0.7469467513434294
<150>,  Valor: 0.6507083536883244
<151>,  Valor: 0.8612603810454323
<152>,  Valor: 0.9643380556912555
<153>,  Valor: 0.9521250610649731
<154>,  Valor: 0.5979482169027845
<155>,  Valor: 0.33170493404982904
<156>,  Valor: 0.6145578895945286
<157>,  Valor: 0.8133854421104054
<158>,  Valor: 0.5764533463605276
<159>,  Valor: 0.7088422081094284
<160>,  Valor: 0.5461651196873474
<161>,  Valor: 0.830972154372252
<162>,  Valor: 0.08597948216902784
<163>,  Valor: 0.49193942354665365
<164>,  Valor: 0.2589154860771861
<165>,  Valor: 0.5046409379579873
<166>,  Valor: 0.6272594040058622
<167>,  Valor: 0.18124084025403028
<168>,  Valor: 0.2530532486565706
<169>,  Valor: 0.3346360527601368
<170>,  Valor: 0.6995603321934538
<171>,  Valor: 0.27699071812408405
<172>,  Valor: 0.028334147532975085
<173>,  Valor: 0.8212017586712261
<174>,  Valor: 0.8031265266243283
<175>,  Valor: 0.2789447972642892
<176>,  Valor: 0.08500244259892525
<177>,  Valor: 0.46360527601367857
<178>,  Valor: 0.43771372740595993
<179>,  Valor: 0.6873473375671715
<180>,  Valor: 0.9233023937469468
<181>,  Valor: 0.7625793844650708
<182>,  Valor: 0.10356619443087445
<183>,  Valor: 0.0014655593551538837
<184>,  Valor: 0.04201270151441133
<185>,  Valor: 0.21739130434782608
<186>,  Valor: 0.30092818759159745
<187>,  Valor: 0.7225207620908647
<188>,  Valor: 0.9428431851489986
<189>,  Valor: 0.32877381533952127
<190>,  Valor: 0.5295554469956033
<191>,  Valor: 0.34929164631167564
<192>,  Valor: 0.12408402540302882
<193>,  Valor: 0.5964826575476306
<194>,  Valor: 0.2892037127503664
<195>,  Valor: 0.38251099169516367
<196>,  Valor: 0.08695652173913043
<197>,  Valor: 0.5202735710796287
